checked_items,tone,difficulty
아동_미리알림_10분 전|아동_설명_짧고 쉬운 문장으로 말해주세요,kind,low
아동_미리알림_10분 전|아동_의사소통_문장으로 대답해요,kind,low
아동_미리알림_10분 전|일정_변수_완료후보상있음,kind,low
아동_미리알림_10분 전|아동_미리알림_30분 전,kind,low
아동_설명_짧고 쉬운 문장으로 말해주세요|아동_의사소통_문장으로 대답해요,kind,low
아동_설명_짧고 쉬운 문장으로 말해주세요|일정_변수_완료후보상있음,kind,low
아동_설명_짧고 쉬운 문장으로 말해주세요|아동_미리알림_30분 전,kind,low
아동_의사소통_문장으로 대답해요|일정_변수_완료후보상있음,kind,low
아동_의사소통_문장으로 대답해요|아동_미리알림_30분 전,kind,low
일정_변수_완료후보상있음|아동_미리알림_30분 전,kind,low
아동_미리알림_10분 전|아동_설명_짧고 쉬운 문장으로 말해주세요|아동_의사소통_문장으로 대답해요,kind,low
아동_미리알림_10분 전|아동_설명_짧고 쉬운 문장으로 말해주세요|일정_변수_완료후보상있음,kind,low
아동_미리알림_10분 전|아동_설명_짧고 쉬운 문장으로 말해주세요|아동_미리알림_30분 전,kind,low
아동_미리알림_10분 전|아동_의사소통_문장으로 대답해요|일정_변수_완료후보상있음,kind,low
아동_미리알림_10분 전|아동_의사소통_문장으로 대답해요|아동_미리알림_30분 전,kind,low
아동_미리알림_10분 전|일정_변수_완료후보상있음|아동_미리알림_30분 전,kind,low
아동_설명_짧고 쉬운 문장으로 말해주세요|아동_의사소통_문장으로 대답해요|일정_변수_완료후보상있음,kind,low
아동_설명_짧고 쉬운 문장으로 말해주세요|아동_의사소통_문장으로 대답해요|아동_미리알림_30분 전,kind,low
아동_설명_짧고 쉬운 문장으로 말해주세요|일정_변수_완료후보상있음|아동_미리알림_30분 전,kind,low
아동_의사소통_문장으로 대답해요|일정_변수_완료후보상있음|아동_미리알림_30분 전,kind,low
아동_장소_병원|일정_장소_병원방문|일정_환경_대기시간있음,kind,medium
아동_장소_병원|일정_장소_병원방문|아동_일정변화_기다리기,kind,medium
아동_장소_병원|일정_장소_병원방문|아동_환경_사람 많은 곳,kind,medium
아동_장소_병원|일정_장소_병원방문|일정_이동_버스이용,kind,medium
아동_장소_병원|일정_장소_병원방문|일정_활동_진료있음,kind,medium
아동_장소_병원|일정_환경_대기시간있음|아동_일정변화_기다리기,kind,medium
아동_장소_병원|일정_환경_대기시간있음|아동_환경_사람 많은 곳,kind,medium
아동_장소_병원|일정_환경_대기시간있음|일정_이동_버스이용,kind,medium
아동_장소_병원|일정_환경_대기시간있음|일정_활동_진료있음,kind,medium
아동_장소_병원|아동_일정변화_기다리기|아동_환경_사람 많은 곳,kind,medium
아동_장소_병원|아동_일정변화_기다리기|일정_이동_버스이용,kind,medium
아동_장소_병원|아동_일정변화_기다리기|일정_활동_진료있음,kind,medium
아동_장소_병원|아동_환경_사람 많은 곳|일정_이동_버스이용,kind,medium
아동_장소_병원|아동_환경_사람 많은 곳|일정_활동_진료있음,kind,medium
